Flipper;🎯 Skillshot (wo?);🎯Eröffnungsstrategie ;🎮 Modus (welchen wählen?);📍 Modus starten (wo?);🔒 Lock qualifizieren (wie?);🔒 Ball locken (wo?);🎯 Multiball starten;🔘 Action-Button;🔄 Alternative;⚠️ Gefährlicher Schuss;💡 Tipp
Black Knight (1980);Kein klassischer Skillshot. Den Ball möglichst kontrolliert über die oberen Rollovers (oberes Spielfeld) spielen, um Bonus und Multiplikatoren aufzubauen.;1. Über den Skyway (linke Rampe) das obere Spielfeld erreichen. 2. Die Shield-Targets (oben) treffen, um den Magna-Save zu aktivieren. 3. Den Knight mehrfach treffen und Bonus-X erhöhen. 4. Das obere Spielfeld möglichst lange halten.;–;–;Kein Lock / kein klassischer Multiball.;–;–;Ja – Magna-Save auf der linken Outlane.;Falls das obere Spielfeld zu riskant ist, Bonus-X auf dem unteren Spielfeld aufbauen.;Skyway (linke Rampe) – Fehlschüsse landen auf dem unteren Spielfeld und erhöhen die Drain-Gefahr erheblich.;Im Matchplay gilt: Oben bleiben! Das obere Spielfeld ist deutlich sicherer und wertvoller. Magna-Save möglichst immer aktiv halten.
Eight Ball Deluxe;Kein klassischer Skillshot. Den Abschuss möglichst über die oberen Rollovers für Bonus und Bonus-X kontrollieren.;1. Die Stripe- oder Solid-Drop-Targets (links/rechts) vervollständigen. 2. Die 8-Ball freischalten. 3. Die 8-Ball-Tasche (oben Mitte) treffen. 4. Bonus und Bonus-X weiter erhöhen.;–;–;Kein Lock / kein Multiball.;–;–;Nein;Falls die 8-Ball noch nicht leuchtet, weiter Drop-Targets spielen.;8-Ball-Saucer (oben Mitte) – Fehlschüsse können unkontrolliert auf die Flipper zurückprallen.;Im Matchplay stehen Bonus-X und die 8-Ball im Mittelpunkt. Replay- und Special-Lampen ignorieren. Sichere Target-Schüsse bringen mehr als riskante Saucer-Versuche.
Xenon;Kein klassischer Skillshot. Den Ball über die oberen Rollovers für Bonus und Multiplikator spielen.;1. Die X-E-N-O-N-Targets (Mitte) vervollständigen. 2. Xenon Multiball qualifizieren. 3. Zwei Bälle über die linke Lock-Bahn sperren. 4. Multiball starten und Jackpots spielen.;–;–;X-E-N-O-N vervollständigen, um die Locks freizuschalten.;Linke Lock-Bahn (links oben) – insgesamt 2 physische Locks.;Nach dem 2. Lock startet der 2-Ball-Multiball automatisch.;Nein;Falls die Locks noch nicht leuchten, zuerst X-E-N-O-N abschließen.;Linke Lock-Bahn – Fehlschüsse kommen häufig hart auf den rechten Flipper zurück.;Im Matchplay möglichst schnell den Multiball erreichen. Bonus-X ist ebenfalls wichtig, aber der frühe Multiball bringt meist die zuverlässigsten Punkte.
Fathom;Kein klassischer Skillshot. Den Abschuss möglichst über die oberen Rollovers für Bonus und Multiplikator kontrollieren.;1. Die Drop-Targets (links und rechts) vervollständigen. 2. LOCK leuchtet. 3. Zwei Bälle in die beiden oberen Saucers (links/rechts oben) locken. 4. Multiball starten und Jackpots spielen.;–;–;Beide Drop-Target-Bänke abschließen, um die Locks freizuschalten.;Linker und rechter Saucer (oben links und oben rechts) – 2 physische Locks.;Nach dem 2. Lock startet der 2-Ball-Multiball automatisch.;Nein;Falls LOCK noch nicht leuchtet, weiter Drop-Targets spielen.;Obere Saucers – Kickouts können den Ball schnell und unkontrolliert zur Spielfeldmitte zurückwerfen.;Im Matchplay möglichst früh den Multiball starten. Die Drop-Targets sind der sicherste Weg dorthin und erhöhen gleichzeitig den Bonus.
Medusa;Kein klassischer Skillshot. Den Ball kontrolliert über die oberen Rollovers spielen, um Bonus und Bonus-X aufzubauen.;1. Die M-E-D-U-S-A-Targets vervollständigen. 2. Die Inline-Drop-Targets (Mitte) abschließen. 3. Bonus-X und Special-Werte erhöhen. 4. Bonus sichern.;–;–;Kein Lock / kein Multiball.;–;–;Nein;Falls die Inline-Targets zu riskant sind, zuerst M-E-D-U-S-A vervollständigen.;Inline-Drop-Targets (Mitte) – Harte Abpraller können direkt zwischen die Flipper (SDTM) zurücklaufen.;Im Matchplay sind Bonus-X und die Inline-Drop-Targets entscheidend. Replay- und Special-Ziele können ignoriert werden. Kontrollierte Schüsse sind deutlich wichtiger als aggressive Einzelpunkte.
Paragon (1979);Kein klassischer Skillshot. Den Ball möglichst über die oberen Rollovers spielen, um Bonus und Bonus-X aufzubauen.;1. Die linken und rechten Drop-Target-Bänke vervollständigen. 2. Bonus-X erhöhen. 3. Den Paragon Saucer (oben Mitte) für hohe Punkte spielen. 4. Bonus sichern.;–;–;Kein Lock / kein Multiball.;–;–;Nein;Falls die Mitte gefährlich ist, zunächst nur die äußeren Drop-Targets spielen.;Paragon Saucer (oben Mitte) – Kickouts können den Ball unkontrolliert in Richtung rechter Outlane oder Mitte zurückwerfen.;Im Matchplay zählen Bonus-X und Drop-Targets deutlich mehr als Specials oder Replay. Lieber kontrolliert die äußeren Targets spielen als riskante Schüsse in die Mitte.
Genie (Gottlieb 1979);Kein klassischer Skillshot. Den Abschuss möglichst so timen, dass die oberen Rollovers getroffen werden.;1. Die Drop-Targets links und rechts vervollständigen. 2. Bonus-X erhöhen. 3. Den Center Saucer für hohe Werte spielen. 4. Bonus sichern.;–;–;Kein Lock / kein Multiball.;–;–;Nein;Falls der Center Saucer gefährlich spielt, zuerst Bonus-X maximieren.;Center Saucer (Mitte oben) – Fehlschüsse können direkt auf die Slingshots oder zwischen die Flipper zurückkommen.;Im Matchplay ist Bonus-X der Schlüssel. Replay- und Extra-Ball-Ziele ignorieren und den Center Saucer erst spielen, wenn die Bonuswerte hoch sind.
Harlem Globetrotters On Tour (1979);Kein klassischer Skillshot. Den Ball kontrolliert über die Top-Lanes spielen, um Bonus aufzubauen.;1. Die Drop-Targets vervollständigen. 2. Bonus-X erhöhen. 3. Spinner bei Beleuchtung spielen. 4. Bonus sichern.;–;–;Kein Lock / kein Multiball.;–;–;Nein;Falls die Drop-Targets offen sind, zuerst Spinner spielen.;Mittlere Drop-Targets – Harte Rückpraller können direkt zwischen die Flipper laufen.;Im Matchplay stehen Bonus und Spinner im Vordergrund. Specials bringen im Turnier nichts – sichere Spinner- und Target-Schüsse sind deutlich wertvoller.
Flash (Williams 1979);Kein klassischer Skillshot. Den Ball möglichst über die oberen Rollovers spielen, um den Multiplikator aufzubauen.;1. Die DROP-Targets vervollständigen. 2. Den Spinner aufwerten. 3. Flash-Bonus erhöhen. 4. Bonus sichern.;–;–;Kein Lock / kein Multiball.;–;–;Nein;Falls die Spinnerbeleuchtung aktiv ist, diesen priorisieren.;Center Drop-Targets – Fehlschüsse prallen oft direkt auf die Slingshots und zurück zur Mitte.;Im Matchplay ist der beleuchtete Spinner der wichtigste Schuss. Bonus-X und Spinner haben Vorrang vor Replay- oder Special-Lampen.
Gorgar (Williams 1979);Kein klassischer Skillshot. Den Ball über die Top-Lanes für Bonus und Multiplikator kontrollieren.;1. Die G-O-R-G-A-R-Targets vervollständigen. 2. Den sprechenden Gorgar-Kopf (Mitte) aktivieren. 3. Bonus-X erhöhen. 4. Bonus sichern.;–;–;Kein Lock / kein Multiball.;–;–;Nein;Falls der Gorgar-Kopf gefährlich spielt, zuerst die äußeren Targets abschließen.;Gorgar Mouth (Mitte) – Fehlschüsse können hart und unkontrolliert direkt zwischen die Flipper zurückspringen.;Im Matchplay stehen Bonus-X und das Vervollständigen von GORGAR im Mittelpunkt. Der Kopf ist wertvoll, sollte aber nur aus kontrollierter Balllage gespielt werden.
Alien Poker (1980);Kein klassischer Skillshot. Den Ball möglichst über die oberen Rollovers spielen, um Bonus-X und die Poker-Features aufzubauen.;1. Die A-L-I-E-N-P-O-K-E-R-Targets vervollständigen. 2. Die beleuchteten Poker-Lanes sammeln. 3. Spinner und Orbits bei Beleuchtung spielen. 4. Bonus sichern.;–;–;Kein Lock / kein Multiball.;–;–;Nein;Wenn die Spinner beleuchtet sind, diese bevorzugen.;Mittlere Standup-Targets – Fehlschüsse können hart auf die Slingshots oder zwischen die Flipper zurückprallen.;Im Matchplay zählen Bonus-X und die Poker-Features deutlich mehr als Specials. Sichere Spinner-Schüsse bringen meist den höchsten Ertrag.
Embryon (1980);Kein klassischer Skillshot. Den Abschuss so steuern, dass möglichst die oberen Rollovers getroffen werden.;1. Die DNA-/Drop-Targets vervollständigen. 2. Bonus-X erhöhen. 3. Den Center Saucer für hohe Werte spielen. 4. Bonus sichern.;–;–;Kein Lock / kein Multiball.;–;–;Nein;Falls die Mitte gefährlich spielt, zuerst die äußeren Targets abschließen.;Center Saucer (Mitte oben) – Kickouts kommen häufig schnell zur Spielfeldmitte zurück.;Im Matchplay steht Bonusaufbau im Vordergrund. Replay- und Special-Lampen ignorieren und nur kontrollierte Schüsse auf den Saucer spielen.
Skateball (1980);Kein klassischer Skillshot. Den Ball möglichst über die Top-Lanes spielen, um Bonus und Multiplikator zu erhöhen.;1. Die Drop-Target-Bänke vervollständigen. 2. Den Spinner aufwerten. 3. Bonus-X erhöhen. 4. Bonus sichern.;–;–;Kein Lock / kein Multiball.;–;–;Nein;Den Spinner nur spielen, wenn er beleuchtet ist.;Mittlere Drop-Targets – Harte Abpraller laufen oft direkt zur Flippermitte zurück.;Im Matchplay haben Spinner und Bonus-X höchste Priorität. Lieber mehrere sichere Spinner-Schüsse als riskante Versuche auf Specials.
Fireball (Bally, 1972);Kein klassischer Skillshot. Den Ball kontrolliert über die oberen Rollovers spielen, um Bonus und Freispiele aufzubauen.;1. Die Mushroom Bumpers und Rollovers aktivieren. 2. Bonus erhöhen. 3. Den Center Saucer gezielt anspielen. 4. Bonus sichern.;–;–;Kein Lock / kein Multiball.;–;–;Nein;Falls der Saucer gefährlich auswirft, zunächst Rollovers und Spinner spielen.;Center Saucer – Kickouts sind unberechenbar und können direkt Richtung Outlane laufen.;Im Matchplay sind Bonus-X und Ballkontrolle wichtiger als Replay oder Specials. Der Saucer lohnt sich erst, wenn der Bonus bereits aufgebaut ist.
Solar Ride (1981);Kein klassischer Skillshot. Den Ball über die oberen Rollovers spielen, um Bonus und Multiplikator aufzubauen.;1. Die Drop-Targets vervollständigen. 2. Spinner bei Beleuchtung spielen. 3. Bonus-X erhöhen. 4. Bonus sichern.;–;–;Kein Lock / kein Multiball.;–;–;Nein;Falls der Spinner leuchtet, diesen priorisieren.;Mittlere Drop-Targets – Fehlschüsse können direkt auf die Slingshots und anschließend zwischen die Flipper zurückspringen.;"Im Matchplay ist der beleuchtete Spinner der wichtigste Schuss. Replay- und Extra-Ball-Ziele können ignoriert werden; Bonus-X bringt langfristig die meisten Punkte."
Sinbad (Gottlieb 1978);Kein klassischer Skillshot. Den Ball möglichst über die oberen Rollovers spielen, um Bonus und Bonus-X aufzubauen.;1. Die Drop-Targets links und rechts vervollständigen. 2. Bonus-X erhöhen. 3. Den Center Saucer (oben Mitte) für hohe Werte spielen. 4. Bonus sichern.;–;–;Kein Lock / kein Multiball.;–;–;Nein;Falls der Saucer gefährlich auswirft, zuerst die äußeren Drop-Targets spielen.;Center Saucer (oben Mitte) – Kickouts können den Ball direkt auf die Slingshots oder zwischen die Flipper zurückwerfen.;Im Matchplay stehen Bonus und Bonus-X an erster Stelle. Replay- und Special-Lampen ignorieren. Sichere Target-Schüsse bringen langfristig mehr Punkte als riskante Saucer-Versuche.
Fast Draw (Gottlieb 1975);Kein klassischer Skillshot. Den Abschuss so kontrollieren, dass die Top-Rollovers getroffen werden.;1. Die Drop-Target-Bank vervollständigen. 2. Bonus-X erhöhen. 3. Beleuchtete Targets erneut spielen. 4. Bonus sichern.;–;–;Kein Lock / kein Multiball.;–;–;Nein;Wenn Bonus-X bereits hoch ist, lieber sichere Rollovers mitnehmen.;Drop-Targets (Mitte) – Harte Abpraller können direkt zur Flippermitte oder auf die Slingshots zurückspringen.;Im Matchplay zählt Bonus-X deutlich mehr als Replay oder Specials. Lieber kontrollierte Target-Schüsse als aggressive Angriffe auf Einzelwertungen.
Spirit of '76 (Gottlieb 1975);Kein klassischer Skillshot. Den Ball möglichst über die oberen Rollovers spielen, um Bonus und Multiplikator zu erhöhen.;1. Die Drop-Targets vervollständigen. 2. Bonus-X aufbauen. 3. Spinner bei Beleuchtung spielen. 4. Bonus sichern.;–;–;Kein Lock / kein Multiball.;–;–;Nein;Falls der Spinner leuchtet, diesen bevorzugen.;Mittlere Drop-Targets – Fehlschüsse prallen häufig auf die Slingshots und zurück zur Mitte.;Im Matchplay haben Bonus-X und Spinner höchste Priorität. Specials und Replay bringen im Turnier keinen Vorteil.
Buck Rogers (Gottlieb 1980);Kein klassischer Skillshot. Den Ball kontrolliert über die Top-Rollovers spielen.;1. Die Drop-Targets vervollständigen. 2. Bonus-X erhöhen. 3. Den Center Saucer für hohe Werte spielen. 4. Bonus sichern.;–;–;Kein Lock / kein Multiball.;–;–;Nein;Falls der Saucer gefährlich spielt, zunächst Bonus-X maximieren.;Center Saucer (Mitte oben) – Kickouts können schnell zur Spielfeldmitte oder rechten Outlane laufen.;Im Matchplay steht der Bonusaufbau im Vordergrund. Sichere Schüsse auf Targets und Rollovers sind wertvoller als riskante Saucer-Versuche.
El Dorado (Gottlieb 1975);Kein klassischer Skillshot. Den Abschuss so timen, dass möglichst die oberen Rollovers getroffen werden.;1. Die Drop-Target-Bänke vervollständigen. 2. Bonus-X erhöhen. 3. Beleuchtete Targets erneut abschießen. 4. Bonus sichern.;–;–;Kein Lock / kein Multiball.;–;–;Nein;Falls mehrere Drop-Targets stehen, zuerst die äußeren Ziele spielen.;Drop-Targets (Mitte) – Harte Rückpraller können direkt zwischen die Flipper laufen.;Im Matchplay ist Bonus-X der Schlüssel zum Erfolg. Replay- und Extra-Ball-Ziele können ignoriert werden. Kontrollierte Drop-Target-Schüsse bringen die meisten Punkte.
Central Park (Gottlieb 1966);Kein klassischer Skillshot. Den Ball möglichst über die oberen Rollovers spielen, um Bonus und Punkte aufzubauen.;1. Die Rollovers und Standup-Targets vervollständigen. 2. Bonus erhöhen. 3. Den Top Saucer (oben Mitte) gezielt anspielen. 4. Bonus sichern.;–;–;Kein Lock / kein Multiball.;–;–;Nein;Falls der Saucer unruhig auswirft, lieber weiter Rollovers sammeln.;Top Saucer (oben Mitte) – Kickouts können den Ball unkontrolliert zur rechten Flipperseite oder Richtung Outlane zurückwerfen.;Im Matchplay zählen Bonus und Ballkontrolle mehr als Specials oder Replay. Erst den Bonus aufbauen, dann den Saucer gezielt für hohe Wertungen nutzen.
Terminator 2: Judgment Day (Williams, 1991);Skillshot: Beim Abschuss die blinkende Skillshot-Lane (Top-Lanes) treffen. Super Skillshot: Den Ball kurz plungen und sofort die linke Rampe (Left Ramp) treffen, bevor andere Schalter ausgelöst werden.;1. HOLD BONUS über die linke Rampe aktivieren. 2. Die 5 Drop-Targets vor dem T-1000 (Mitte) abschießen, bis LOCK leuchtet. 3. Den T-1000 Lock (Mitte) treffen und den Ball locken. 4. Insgesamt 3 Locks sammeln. 5. 3-Ball Multiball starten und anschließend Jackpots über die Rampen spielen.;Kein klassischer Modus – Multiball hat höchste Priorität.;Kein separater Modus. Fokus liegt auf den T-1000-Targets und dem Multiball.;Die 5 T-1000-Drop-Targets (Spielfeldmitte vor dem T-1000) komplett abschießen. Nach jedem Lock müssen sie erneut aufgebaut werden. Insgesamt 3 Locks für den ersten Multiball.;T-1000 Lock (Mitte des Spielfelds) – hinter den heruntergefallenen T-1000-Drop-Targets. Der Ball wird dort physisch gespeichert.;"Nach dem 3. Lock startet der 3-Ball Multiball automatisch. Während des Multiballs die linke und rechte Rampe für Jackpots schießen; der Super Jackpot wird über den T-1000 gesammelt.";Nein;Wenn die Mitte zu gefährlich spielt, zunächst linke Rampe für HOLD BONUS und sichere Rampenkombinationen spielen, bevor der Lock angegriffen wird.;T-1000-Drop-Targets (Mitte) – Harte Fehlschüsse können direkt zwischen die Flipper (SDTM) oder schnell auf den rechten Flipper zurückprallen. Auch der Auswurf des Locks kann unangenehm sein.;Im Matchplay ist der erste Multiball fast immer die beste Strategie. Konzentriere dich auf T-1000-Drop-Targets → Lock → Multiball. HOLD BONUS früh über die linke Rampe aktivieren, da der aufgebaute Bonus bei einem Drain erhalten bleibt. Während des Multiballs zuerst die Rampen-Jackpots sichern und danach den Super Jackpot am T-1000 holen.
Sharkey's Shootout (Stern, 2000);Skillshot: Die blinkende obere Skillshot-Lane treffen. Super Skillshot: Sofort die Break Shot (Center Shot) nach dem Abschuss treffen.;1. Einen Pool-Mode starten. 2. Kugeln der aktuellen Rack-Kombination versenken. 3. 8-Ball Multiball vorbereiten. 4. Locks sammeln. 5. Multiball starten und Jackpots über die Hauptschüsse holen.;8-Ball Multiball;Break Shot (Mitte) startet Pool-Modi.;Die erforderlichen Kugeln (Pool Balls) gemäß aktuellem Rack versenken, bis LOCK leuchtet.;Corner Pocket (oben links) – physischer Ball-Lock.;Nach dem letzten Lock über den Corner Pocket.;Nein;Wenn der Center Shot gefährlich läuft, zunächst sichere Rampen und Orbits für Kugelfortschritt spielen.;Break Shot (Mitte) – Fehlschüsse kommen häufig hart zwischen die Flipper zurück.;Im Matchplay möglichst schnell 8-Ball Multiball erreichen. Pool-Modi nur soweit spielen, wie sie direkt zum Multiball führen.
The Sopranos (Stern, 2005);Skillshot: Beleuchtete Top-Lane treffen. Super Skillshot: Linken Flipper halten und direkt die Stash Ramp (linke Rampe) treffen.;1. Stash sammeln. 2. Stash Multiball vorbereiten. 3. 3 Locks sammeln. 4. Multiball starten. 5. Jackpots über Rampen und Orbits spielen.;Stash Multiball;Bada Bing Scoop (links) startet Modi.;Genügend Stash sammeln, bis LOCK leuchtet. Insgesamt 3 Locks.;Stash Safe (rechts oben) – physischer Ball-Lock.;Nach dem 3. Lock startet der Multiball automatisch.;Nein;Einen einfachen Mode vor dem Multiball starten und stacken.;Safe Shot (rechts oben) – Fehlschüsse laufen oft gefährlich auf den rechten Flipper zurück.;Im Matchplay ist Stash Multiball das erste Ziel. Geld sammeln nur, wenn es auf dem direkten Weg liegt.
NBA (Stern, 2009);Skillshot: Beleuchtete Top-Lane treffen. Super Skillshot: Direkt die Center Ramp treffen.;1. Team wählen. 2. Fast Break starten. 3. Multiball vorbereiten. 4. Locks sammeln. 5. Jackpots über Rampen erzielen.;Fast Break Multiball;Center Scoop startet Spielmodi.;Durch Körbe und Rampentreffer werden die Locks freigeschaltet.;Basket (oben Mitte) – physischer Lock.;Nach dem letzten Lock über den Basket.;Nein;Falls die Mitte gefährlich spielt, zuerst sichere Orbit-Schüsse nutzen.;Basket Shot – Harte Rückpraller können direkt SDTM zurückkommen.;Im Matchplay Fast Break möglichst früh starten und mit einem laufenden Modus kombinieren.
NHL (Stern, 2001);Skillshot: Beleuchtete Top-Lane treffen. Super Skillshot: Direkt die Left Ramp treffen.;1. Team wählen. 2. Power Play starten. 3. Hat Trick Multiball vorbereiten. 4. 3 Locks sammeln. 5. Multiball und Jackpots spielen.;Hat Trick Multiball;Center Scoop startet Modi.;Durch Treffer auf die Hockey-Ziele und Hauptschüsse werden 3 Locks qualifiziert.;Goal Lock (oben Mitte) – physischer Ball-Lock.;Nach dem 3. Lock startet Hat Trick Multiball.;Nein;Bei schwierigen Goal-Shots lieber über Rampen aufbauen.;Goal Shot (Mitte) – Fehlschüsse kommen häufig direkt zwischen die Flipper zurück.;Im Matchplay zuerst Hat Trick Multiball spielen. Skillshots für Light Lock sind besonders wertvoll.
Orbitor 1 (Williams, 1982);Kein klassischer Skillshot. Den Abschuss so kontrollieren, dass der Ball die oberen Rollovers für Bonus und Multiplikator trifft.;1. Die Drop-Targets vervollständigen. 2. Bonus-X erhöhen. 3. Den Orbit und Spinner spielen. 4. Bonus sichern.;–;–;Kein Lock / kein Multiball.;–;–;Nein;Falls die Drop-Targets riskant sind, zuerst Spinner und Rollovers spielen.;Mittlere Drop-Targets – Durch das konkave Spielfeld können Abpraller sehr unberechenbar verlaufen und direkt zur Mitte zurückkommen.;Im Matchplay ist Ballkontrolle wichtiger als aggressive Schüsse. Bonus-X und Spinner bringen langfristig die höchsten Punkte.
Black Hole (Gottlieb, 1981);Kein klassischer Skillshot. Den Ball möglichst über die oberen Rollovers spielen, um Bonus-X aufzubauen.;1. Die Drop-Targets auf dem oberen Spielfeld vervollständigen. 2. Bonus-X erhöhen. 3. Über den Center Hole auf das untere Spielfeld wechseln. 4. Dort Bonus und Sonderwertungen sammeln und kontrolliert zurückkehren.;–;–;Kein Lock / kein klassischer Multiball.;–;Mehrball wird über den unteren Spielbereich ausgelöst, kein klassischer Lock.;Nein;Wenn das untere Spielfeld gefährlich läuft, Bonus oben aufbauen und Wechsel verzögern.;Center Hole (Mitte) – Der Wechsel zum unteren Spielfeld kann schnell zu Kontrollverlust führen.;Im Matchplay zunächst Bonus-X auf dem oberen Spielfeld maximieren. Das untere Spielfeld erst nutzen, wenn genügend Bonus aufgebaut wurde.
Haunted House (Gottlieb, 1982);Kein klassischer Skillshot. Den Ball über die Top-Lanes für Bonus spielen.;1. Bonus-X auf dem oberen Spielfeld erhöhen. 2. Drop-Targets vervollständigen. 3. Kontrolliert zwischen oberem, mittlerem und unterem Spielfeld wechseln. 4. Bonus sichern.;–;–;Kein Lock / kein klassischer Multiball.;–;Mehrere Spielfelder gleichzeitig statt klassischem Multiball.;Nein;Wenn das untere Spielfeld zu gefährlich ist, lieber oben weiterspielen.;Mittleres Center Hole – Übergänge zwischen den Ebenen führen oft zu unkontrollierten Rückläufen.;Im Matchplay zählt Ballkontrolle mehr als aggressive Ebenenwechsel. Bonus-X zuerst aufbauen und riskante Wechsel vermeiden.
Mars Trek (Sonic, 1977);Kein klassischer Skillshot. Den Ball kontrolliert über die oberen Rollovers spielen.;1. Standup-Targets vervollständigen. 2. Bonus erhöhen. 3. Spinner und Saucer bei Beleuchtung spielen. 4. Bonus sichern.;–;–;Kein Lock / kein Multiball.;–;–;Nein;Falls der Saucer gefährlich auswirft, zuerst Spinner spielen.;Center Saucer – Kickouts können den Ball direkt Richtung Outlane oder Slingshots werfen.;Im Matchplay Bonus und Spinner priorisieren. Replay- und Special-Lampen ignorieren.
Spirit (Gottlieb, 1982);Kein klassischer Skillshot. Den Ball möglichst über die Top-Rollovers für Bonus-X spielen.;1. Die Drop-Target-Bänke vervollständigen. 2. Spinner aufwerten. 3. Bonus-X maximieren. 4. Bonus sichern.;–;–;Kein Lock / kein Multiball.;–;–;Nein;Wenn der Spinner leuchtet, diesen priorisieren.;Drop-Targets (Mitte) – Harte Rückpraller können direkt zwischen die Flipper laufen.;Im Matchplay sind Spinner und Bonus-X die wichtigsten Punktemöglichkeiten. Sichere Target-Schüsse schlagen riskante Specials.
Silverball Mania (Bally, 1980);Kein klassischer Skillshot. Den Ball über die oberen Rollovers für Bonus und Multiplikator spielen.;1. Die Drop-Targets vervollständigen. 2. Bonus-X erhöhen. 3. Spinner und Saucer bei Beleuchtung spielen. 4. Bonus sichern.;–;–;Kein Lock / kein Multiball.;–;–;Nein;Falls der Saucer gefährlich spielt, lieber Spinner schießen.;Center Saucer – Fehlschüsse können schnell auf die rechte Flipperseite zurückkommen.;Im Matchplay haben Bonus-X und Spinner Vorrang. Replay- und Extra-Ball-Ziele können ignoriert werden.
Solar Fire (Williams, 1981);Kein klassischer Skillshot. Den Ball kontrolliert über die oberen Rollovers spielen.;1. Drop-Targets vervollständigen. 2. Bonus-X erhöhen. 3. Spinner bei Beleuchtung spielen. 4. Bonus sichern.;–;–;Kein Lock / kein Multiball.;–;–;Nein;Wenn Bonus-X bereits hoch ist, lieber sichere Spinner-Schüsse wählen.;Drop-Targets (Mitte) – Harte Abpraller laufen häufig direkt zur Spielfeldmitte zurück.;Im Matchplay Spinner und Bonus-X priorisieren. Kontrollierte Schüsse bringen mehr als riskante Einzelwertungen.
Time Warp (Williams, 1979);Kein klassischer Skillshot. Den Abschuss so timen, dass möglichst die Top-Lanes getroffen werden.;1. Die Drop-Targets vervollständigen. 2. Bonus-X erhöhen. 3. Spinner und Orbits spielen. 4. Bonus sichern.;–;–;Kein Lock / kein Multiball.;–;–;Nein;Falls die Mitte gefährlich spielt, zuerst Spinner und äußere Targets nutzen.;Mittlere Drop-Targets – Fehlschüsse können direkt zwischen die Flipper zurückprallen.;Im Matchplay zählt der konsequente Aufbau von Bonus-X. Spinner sind die sicherste und konstanteste Punktequelle.
Earthshaker!;Skillshot: Ball über die obere Skillshot-Lane schießen und den blinkenden Award treffen.;Center Ramp (Rampe in der Mitte) treffen → Earthquake starten → 2 Bälle locken → Multiball → Jackpots über die Rampe sammeln.;Rampentreffer leuchten nacheinander die Locks. Insgesamt 2 Locks.;Cellar (Keller) links unter dem Spielfeld – physischer 2-Ball-Lock.;Nach dem 2. Lock startet Earthshaker Multiball automatisch.;Center Ramp – Fehlschüsse prallen häufig direkt auf den rechten Flipper oder Richtung rechte Outlane zurück.;Im Matchplay möglichst schnell den ersten Multiball holen. Die Center Ramp ist der wichtigste Schuss des Spiels. Der Earthquake-Modus bringt zwar Punkte, darf den schnellen Multiball aber nicht verzögern.;;;;
Space Shuttle;Skillshot: obere A-B-C-Lanes treffen und Bonus-X erhöhen.;Shuttle Ramp (große linke Rampe) wiederholt treffen → Extra Ball/Multiball vorbereiten → Jackpots über die Rampe sammeln.;Keine klassische Lock-Qualifikation. Multiball wird über Shuttle-Rampenfortschritt aufgebaut.;Kein Ball-Lock (virtueller Multiball).;Über die Shuttle Ramp, sobald Multiball leuchtet.;Shuttle Ramp – Fehlschüsse laufen oft hart auf den rechten Flipper zurück.;Im Matchplay praktisch ausschließlich die Shuttle Ramp spielen. Sie bringt den größten Punktefortschritt und startet den Multiball am schnellsten.;;;;
F-14 Tomcat;Skillshot: obere Rollovers treffen (Bonus-X).;Drop-Targets abschließen → Tomcat Multiball vorbereiten → 3 Locks sammeln → Multiball → Jackpots über die linken und rechten Rampen.;Drop-Targets komplettieren, dadurch werden nacheinander 3 Locks freigegeben.;Top Kickout Holes links und rechts oben – 3 physische Locks.;Nach dem 3. Lock startet der Multiball automatisch.;Drop-Targets in der Mitte – harte Rückpraller können direkt zwischen die Flipper laufen.;Multiball ist nahezu alles. Nach dem Start möglichst nur Rampen für Jackpots spielen. Die mittleren Targets kontrolliert schießen und keine riskanten Einzelziele verfolgen.;;;;
Swords of Fury;Skillshot: obere Rollovers treffen und Bonus-X erhöhen.;BEAST vervollständigen → Lion Man aktivieren → Multiball vorbereiten → Jackpots über die Rampe sammeln.;BEAST-Targets abschließen und Lion-Man-Fortschritt erzielen.;Kein klassischer Ball-Lock (virtueller Multiball).;Über den beleuchteten Center Shot, sobald Multiball qualifiziert ist.;Center Shot – Fehlschüsse prallen häufig direkt zur Spielfeldmitte zurück.;Im Matchplay zuerst konsequent BEAST vervollständigen. Rampen und Orbits sind deutlich sicherer als wiederholte Schüsse in die Mitte.;;;;
Bad Cats;Skillshot: obere Skillshot-Lane treffen.;Cats sammeln → Big Foot Hot Foot aktivieren → Million Shot über die rechte Rampe aufbauen → Rampen wiederholt spielen.;Kein klassischer Multiball vorhanden.;–;–;Big Foot (Center Toy) – Fehlschüsse kommen häufig schnell zwischen die Flipper zurück.;"Da es keinen Multiball gibt, stehen die Million-Shots über die rechte Rampe im Mittelpunkt. Big Foot nur aus kontrollierter Balllage angreifen; Rampen sind wesentlich sicherer und konstanter.";;;;
